stats_g/mean,stats_o/std,epoch,stats_o/mean,stats_g/std,test/episode,train/episode,test/mean_Q,test/success_rate,train/success_rate
0.8539951,0.039173435,0,0.20233598,0.10946486,10.0,20.0,-4.025544,0.0,0.0
0.851926,0.037443105,1,0.2017968,0.11027917,20.0,40.0,-6.969795,0.0,0.0
0.85707694,0.036595434,2,0.2031248,0.11175636,30.0,60.0,-10.336185,0.0,0.0
0.85895735,0.05841359,3,0.20338404,0.11230254,40.0,80.0,-12.393973,0.0,0.0
0.8575189,0.062762246,4,0.20358098,0.11649928,50.0,100.0,-14.110433,0.0,0.0
0.8590181,0.06438589,5,0.20484245,0.11510538,60.0,120.0,-17.422659,0.0,0.0
0.85620576,0.06789152,6,0.20499161,0.11708633,70.0,140.0,-19.35398,0.0,0.0
0.8545125,0.075260125,7,0.20560256,0.123927236,80.0,160.0,-22.091534,0.0,0.0
0.85450107,0.077110164,8,0.20513505,0.12297828,90.0,180.0,-23.487745,0.0,0.0
0.8554306,0.08410416,9,0.20456377,0.1265228,100.0,200.0,-24.51661,0.0,0.0
0.8562278,0.086232856,10,0.20523846,0.12628137,110.0,220.0,-25.536459,0.0,0.0
0.8571093,0.08647854,11,0.20571312,0.12716669,120.0,240.0,-23.388744,0.1,0.0
0.8554328,0.089101516,12,0.20503114,0.12754327,130.0,260.0,-27.205938,0.0,0.0
0.85582113,0.08835647,13,0.20541963,0.12637347,140.0,280.0,-24.8245,0.0,0.0
0.85563475,0.08858346,14,0.20525499,0.12603562,150.0,300.0,-28.524887,0.0,0.0
0.85559016,0.08953455,15,0.20477337,0.1250455,160.0,320.0,-28.920227,0.0,0.0
0.85518575,0.0924664,16,0.20547442,0.124611974,170.0,340.0,-30.942724,0.0,0.0
0.85467404,0.09219447,17,0.20547225,0.1236389,180.0,360.0,-33.101612,0.0,0.0
0.85463715,0.09165577,18,0.20531063,0.12317028,190.0,380.0,-31.144934,0.0,0.0
0.85377246,0.09310825,19,0.20517701,0.12312144,200.0,400.0,-29.60085,0.0,0.0
0.85301787,0.09483975,20,0.20445211,0.12345526,210.0,420.0,-29.76554,0.0,0.0
0.85241103,0.094343975,21,0.20430595,0.122891545,220.0,440.0,-29.797943,0.0,0.0
0.8528382,0.0945013,22,0.20425914,0.122120745,230.0,460.0,-31.391195,0.0,0.0
0.85274285,0.09422298,23,0.20425722,0.1216655,240.0,480.0,-35.448963,0.0,0.0
0.85327715,0.09358147,24,0.20440115,0.12133086,250.0,500.0,-31.014593,0.0,0.0
0.85321164,0.09256891,25,0.20439966,0.12071011,260.0,520.0,-32.29377,0.0,0.0
0.85357356,0.09247699,26,0.20462574,0.1213846,270.0,540.0,-35.501823,0.0,0.0
0.85298324,0.09347274,27,0.20483412,0.12300108,280.0,560.0,-34.52599,0.0,0.0
0.85285074,0.09332844,28,0.2048765,0.12392724,290.0,580.0,-33.701088,0.0,0.0
0.85296035,0.093867056,29,0.2047306,0.124325335,300.0,600.0,-34.483597,0.0,0.0
0.85341185,0.09452428,30,0.20472576,0.1247558,310.0,620.0,-35.29468,0.0,0.0
0.85392857,0.09511478,31,0.20502888,0.12504129,320.0,640.0,-37.785366,0.0,0.0
0.8536399,0.09532488,32,0.20470285,0.12497074,330.0,660.0,-33.475185,0.0,0.0
0.8531143,0.09636481,33,0.20467791,0.124885,340.0,680.0,-36.14883,0.0,0.0
0.85326797,0.096628234,34,0.20473917,0.12500964,350.0,700.0,-33.332443,0.0,0.0
0.8535177,0.096921176,35,0.20487846,0.12514712,360.0,720.0,-39.027954,0.0,0.0
0.85355216,0.09653977,36,0.20487055,0.1247034,370.0,740.0,-34.276405,0.0,0.0
0.85362077,0.097671755,37,0.2053072,0.12566926,380.0,760.0,-34.676247,0.0,0.0
0.85364765,0.09850857,38,0.2052041,0.12572448,390.0,780.0,-33.83461,0.0,0.0
0.8536269,0.098897964,39,0.20524149,0.12541664,400.0,800.0,-27.75467,0.0,0.0
0.853648,0.09895899,40,0.20517653,0.124937624,410.0,820.0,-25.937496,0.0,0.0
0.85364914,0.09921509,41,0.20516866,0.12479875,420.0,840.0,-25.317966,0.0,0.0
0.85374385,0.09908944,42,0.20515679,0.124311686,430.0,860.0,-25.39606,0.0,0.0
0.8540278,0.098931,43,0.20522213,0.12385962,440.0,880.0,-29.262506,0.0,0.0
0.8537371,0.09878269,44,0.20515215,0.12383739,450.0,900.0,-29.686756,0.0,0.0
0.85384846,0.09814169,45,0.20513543,0.123520434,460.0,920.0,-27.662617,0.0,0.0
0.8538127,0.09746724,46,0.20512542,0.123129465,470.0,940.0,-27.48302,0.0,0.0
0.8538986,0.09682987,47,0.20513916,0.1228402,480.0,960.0,-33.925285,0.0,0.0
0.853513,0.09652433,48,0.20501316,0.12281256,490.0,980.0,-31.365177,0.0,0.0
0.8532505,0.09658389,49,0.20494561,0.12304154,500.0,1000.0,-35.15612,0.0,0.0
0.85286313,0.097340725,50,0.20493975,0.12450993,510.0,1020.0,-34.987362,0.0,0.0
0.8530174,0.09717898,51,0.20500849,0.12439952,520.0,1040.0,-29.668253,0.0,0.0
0.8529957,0.09734664,52,0.2050171,0.124444366,530.0,1060.0,-35.6881,0.0,0.0
0.8529392,0.0973878,53,0.20508498,0.124670945,540.0,1080.0,-29.828852,0.0,0.0
0.85297275,0.09767024,54,0.20491843,0.124476075,550.0,1100.0,-32.656475,0.0,0.0
0.8528929,0.097257674,55,0.20481439,0.12427044,560.0,1120.0,-33.966938,0.0,0.0
0.85270405,0.09709245,56,0.20469175,0.12405791,570.0,1140.0,-34.720863,0.0,0.0
0.8526526,0.09670311,57,0.20465975,0.12393593,580.0,1160.0,-30.835526,0.0,0.0
0.8528161,0.096636154,58,0.20473425,0.12411343,590.0,1180.0,-35.620373,0.0,0.0
0.85281676,0.096610285,59,0.2047799,0.12441412,600.0,1200.0,-38.006397,0.0,0.0
0.8526179,0.09679439,60,0.20494089,0.12502144,610.0,1220.0,-36.850895,0.0,0.0
0.8528335,0.09702707,61,0.20493394,0.12550761,620.0,1240.0,-32.23748,0.0,0.0
0.8527377,0.09779617,62,0.205006,0.12615003,630.0,1260.0,-37.1883,0.0,0.0
0.8528681,0.09760089,63,0.20511812,0.12612538,640.0,1280.0,-33.711037,0.0,0.0
0.8529368,0.09748136,64,0.20520712,0.12586723,650.0,1300.0,-33.34525,0.0,0.0
0.8530252,0.09757011,65,0.20515862,0.12568031,660.0,1320.0,-29.273266,0.0,0.0
0.8530502,0.09764182,66,0.20511477,0.1256993,670.0,1340.0,-32.857407,0.0,0.0
0.8531799,0.09752315,67,0.2051014,0.12592208,680.0,1360.0,-30.446293,0.0,0.0
0.8532121,0.09767126,68,0.20498294,0.12571466,690.0,1380.0,-25.83324,0.0,0.0
