train/episode,epoch,test/episode,stats_o/mean,stats_o/std,train/success_rate,test/success_rate,stats_g/mean,test/mean_Q,stats_g/std
20.0,0,10.0,0.20877649,0.05471519,0.0,0.0,0.89259243,-4.030574,0.11479794
40.0,1,20.0,0.20797068,0.059450623,0.0,0.0,0.8875578,-7.2517853,0.11667731
60.0,2,30.0,0.20717888,0.062201265,0.0,0.07500000000000001,0.8834154,-9.562836,0.117624186
80.0,3,40.0,0.20668447,0.06577174,0.0,0.025,0.8807769,-11.562811,0.12058114
100.0,4,50.0,0.20700675,0.07244337,0.0,0.05,0.8786878,-13.156118,0.1236845
120.0,5,60.0,0.2068869,0.07493648,0.0,0.125,0.8766649,-15.413748,0.1243621
140.0,6,70.0,0.20640343,0.0783198,0.0,0.05,0.87515014,-17.29,0.1254703
160.0,7,80.0,0.20668213,0.08188523,0.0,0.125,0.8737519,-17.366817,0.12715167
180.0,8,90.0,0.20664147,0.085915715,0.0,0.025,0.8717389,-18.072159,0.12989137
200.0,9,100.0,0.20628713,0.08755896,0.0,0.1,0.87103623,-21.124582,0.12955643
220.0,10,110.0,0.20646335,0.09001507,0.0,0.05,0.8703256,-21.322939,0.12997317
240.0,11,120.0,0.20658256,0.09109372,0.0,0.0,0.8694714,-24.34443,0.12934798
260.0,12,130.0,0.20664597,0.09086589,0.0,0.025,0.8687546,-22.595425,0.12852812
280.0,13,140.0,0.20643331,0.090694815,0.0,0.07500000000000001,0.8682336,-20.916407,0.1278484
300.0,14,150.0,0.20656057,0.09084697,0.0,0.15000000000000002,0.867637,-19.474142,0.12797093
320.0,15,160.0,0.2065168,0.09135727,0.0,0.1,0.86729383,-22.613163,0.12766832
340.0,16,170.0,0.20631203,0.09159644,0.0,0.175,0.8665581,-20.40398,0.12727527
360.0,17,180.0,0.20658068,0.09185662,0.0,0.125,0.86616635,-23.03239,0.12737536
380.0,18,190.0,0.20640266,0.09179885,0.0,0.07500000000000001,0.8655405,-25.964329,0.12681617
400.0,19,200.0,0.20630686,0.0918451,0.0125,0.3,0.8645916,-22.82738,0.1262741
420.0,20,210.0,0.20632602,0.09294609,0.0125,0.35,0.8640328,-19.946161,0.12555845
440.0,21,220.0,0.20632438,0.096125394,0.0,0.17500000000000002,0.86306113,-16.926311,0.1258796
460.0,22,230.0,0.20631585,0.09683831,0.0,0.275,0.8627694,-19.726494,0.1256759
480.0,23,240.0,0.20652057,0.09760975,0.0,0.25,0.8624122,-18.111742,0.12541099
500.0,24,250.0,0.2068457,0.09835333,0.0,0.2,0.8625267,-19.396385,0.12517236
520.0,25,260.0,0.20708144,0.09907222,0.0,0.3,0.8620793,-16.751177,0.12532856
540.0,26,270.0,0.2074692,0.099914014,0.0125,0.3,0.8618285,-14.376192,0.12549457
560.0,27,280.0,0.20788313,0.10144264,0.0125,0.125,0.86108166,-15.347792,0.12631194
580.0,28,290.0,0.2079884,0.10192689,0.0,0.275,0.8607711,-11.013972,0.12693042
600.0,29,300.0,0.20845802,0.10237221,0.05,0.325,0.86039525,-11.439169,0.12725826
620.0,30,310.0,0.20918567,0.103632346,0.037500000000000006,0.35,0.86043555,-6.3555527,0.1276625
640.0,31,320.0,0.20992109,0.104246035,0.0625,0.39999999999999997,0.8607606,-12.223276,0.12745862
660.0,32,330.0,0.21038492,0.10427599,0.1125,0.425,0.8611331,-7.5468283,0.12703687
680.0,33,340.0,0.2109397,0.10535659,0.1,0.575,0.86092424,-5.4454546,0.12724541
700.0,34,350.0,0.21172948,0.105975494,0.16249999999999998,0.6,0.8614412,-4.8372164,0.1272149
720.0,35,360.0,0.21213445,0.10674123,0.1125,0.3,0.8615609,-5.3531218,0.1275582
740.0,36,370.0,0.21280651,0.10742094,0.15000000000000002,0.44999999999999996,0.861752,-4.511015,0.12758619
760.0,37,380.0,0.21338812,0.10826597,0.125,0.575,0.8620452,-4.5733395,0.12851612
780.0,38,390.0,0.2140421,0.108866,0.1125,0.875,0.8627031,-3.849966,0.12877698
800.0,39,400.0,0.21460265,0.10983035,0.16249999999999998,0.6499999999999999,0.8631174,-6.1456842,0.1291485
820.0,40,410.0,0.21520744,0.110577695,0.2625,0.925,0.863566,-3.338163,0.12946637
840.0,41,420.0,0.215842,0.11096359,0.175,0.875,0.864234,-3.032873,0.12951101
860.0,42,430.0,0.2165411,0.11120042,0.2875,1.0,0.864614,-3.0386295,0.12929846
880.0,43,440.0,0.21724632,0.111819305,0.175,0.975,0.8651164,-3.214171,0.12961368
900.0,44,450.0,0.21783605,0.11215521,0.25,0.875,0.8656047,-3.6259196,0.12976216
920.0,45,460.0,0.2184562,0.11268428,0.28750000000000003,0.825,0.86608475,-5.081374,0.12987925
940.0,46,470.0,0.218996,0.11295926,0.25,1.0,0.8665247,-2.7881792,0.12960762
960.0,47,480.0,0.21952172,0.113132626,0.1875,1.0,0.8669879,-2.4375842,0.12935515
980.0,48,490.0,0.22006029,0.11341605,0.275,1.0,0.8673814,-2.6245694,0.12914799
1000.0,49,500.0,0.22042616,0.11372323,0.225,0.85,0.8676551,-4.16975,0.12884827
1020.0,50,510.0,0.22076458,0.11383448,0.3125,1.0,0.8680884,-2.5875146,0.12865146
1040.0,51,520.0,0.22120264,0.113988936,0.33749999999999997,0.95,0.8684899,-2.4636617,0.12853238
1060.0,52,530.0,0.22167885,0.11431053,0.3125,0.95,0.86882114,-2.6692035,0.12847018
1080.0,53,540.0,0.22215351,0.11455185,0.27499999999999997,0.975,0.8692501,-2.5088806,0.12836532
1100.0,54,550.0,0.22261618,0.11492214,0.2,0.9,0.8695709,-2.9306784,0.12843098
1120.0,55,560.0,0.22301114,0.11485303,0.2125,0.95,0.86977714,-3.0111847,0.12831771
1140.0,56,570.0,0.22342458,0.11507402,0.22499999999999998,0.975,0.86998755,-3.184967,0.12819216
1160.0,57,580.0,0.22370918,0.11530794,0.175,0.925,0.8702828,-2.5968907,0.12825392
1180.0,58,590.0,0.22411655,0.115406945,0.1875,0.8999999999999999,0.8706716,-3.8430018,0.12810382
1200.0,59,600.0,0.22447681,0.11550688,0.3,0.825,0.87083435,-3.1374078,0.12794486
1220.0,60,610.0,0.2248015,0.115620516,0.3125,0.95,0.87119085,-2.7421174,0.12775059
1240.0,61,620.0,0.22504301,0.115750745,0.225,0.9,0.87143946,-3.6766744,0.12767537
1260.0,62,630.0,0.22514573,0.115992546,0.225,0.875,0.8716624,-2.5362017,0.12792377
1280.0,63,640.0,0.22540826,0.116047546,0.2125,0.95,0.87189144,-2.6212916,0.12790126
1300.0,64,650.0,0.22557776,0.11613181,0.2875,0.8,0.87202764,-2.8017933,0.12793337
1320.0,65,660.0,0.22577217,0.116218336,0.225,0.8999999999999999,0.8723591,-2.6748936,0.12784308
1340.0,66,670.0,0.22593601,0.11640038,0.1875,0.925,0.8725455,-2.4619823,0.12803657
1360.0,67,680.0,0.22613615,0.11642363,0.325,0.975,0.87281257,-2.554476,0.12790887
1380.0,68,690.0,0.22638178,0.11640297,0.22499999999999998,0.875,0.8730962,-2.2534714,0.12768836
1400.0,69,700.0,0.22642756,0.1164173,0.2,0.775,0.8732937,-4.2911196,0.12753884
1420.0,70,710.0,0.22664289,0.11650424,0.25,0.925,0.8735456,-2.833308,0.12765859
1440.0,71,720.0,0.22682251,0.11643921,0.1125,0.875,0.873647,-2.2178392,0.12753089
1460.0,72,730.0,0.22696951,0.11639642,0.2125,0.95,0.87380385,-2.144514,0.12750615
1480.0,73,740.0,0.22716822,0.11665578,0.2,0.925,0.8739601,-2.7798772,0.12751631
1500.0,74,750.0,0.22723156,0.116777755,0.3125,0.95,0.87414736,-2.7153573,0.1274364
1520.0,75,760.0,0.22732921,0.11694359,0.23750000000000002,0.975,0.8742184,-2.4413314,0.12737517
1540.0,76,770.0,0.22740026,0.11681333,0.21250000000000002,0.975,0.8744113,-2.36429,0.1272142
1560.0,77,780.0,0.22748552,0.1168685,0.2125,0.95,0.8744407,-2.1281571,0.12723231
1580.0,78,790.0,0.2275144,0.116982624,0.2625,0.975,0.8746815,-2.5781982,0.12740688
1600.0,79,800.0,0.22757135,0.1168937,0.325,0.95,0.87479717,-2.6776333,0.12730886
1620.0,80,810.0,0.22758232,0.117003985,0.21250000000000002,0.925,0.87500256,-2.525376,0.12723479
1640.0,81,820.0,0.22748128,0.11712596,0.2,0.975,0.8749903,-2.3757231,0.12721239
1660.0,82,830.0,0.22750424,0.117217004,0.3375,0.95,0.8751878,-2.6732686,0.12734438
1680.0,83,840.0,0.22748294,0.11721062,0.2375,0.925,0.8753117,-2.4191833,0.12729007
1700.0,84,850.0,0.22747137,0.11721598,0.21250000000000002,1.0,0.8754663,-2.1915126,0.12720479
1720.0,85,860.0,0.22744669,0.11718886,0.25,0.95,0.8755544,-2.4368584,0.12714167
1740.0,86,870.0,0.22733791,0.11731403,0.21250000000000002,0.925,0.87558174,-2.6879053,0.12727366
1760.0,87,880.0,0.2274085,0.117346324,0.2,0.925,0.8757596,-2.300369,0.12719691
1780.0,88,890.0,0.22738166,0.11744193,0.2,0.95,0.8758536,-2.3090491,0.12734939
1800.0,89,900.0,0.22743009,0.11735306,0.25,1.0,0.8760275,-2.2427597,0.1273226
1820.0,90,910.0,0.22741707,0.117393486,0.275,1.0,0.8761533,-2.1213078,0.12750268
1840.0,91,920.0,0.22736548,0.117422365,0.2,0.975,0.8761948,-2.3646698,0.12752052
1860.0,92,930.0,0.22734855,0.11742014,0.2625,0.95,0.8763137,-2.4171493,0.12761061
1880.0,93,940.0,0.22731894,0.11741938,0.3125,0.925,0.87649506,-2.163755,0.12761335
1900.0,94,950.0,0.22734304,0.1173644,0.225,0.975,0.8766238,-2.1982403,0.127542
1920.0,95,960.0,0.22734421,0.1173565,0.15,0.975,0.8766752,-2.1047397,0.12749591
1940.0,96,970.0,0.22733273,0.11739285,0.3,1.0,0.8768339,-1.7337282,0.12740539
1960.0,97,980.0,0.22731157,0.11740207,0.2125,0.8500000000000001,0.87695307,-3.0391424,0.12730004
