test/mean_Q,stats_o/std,train/success_rate,test/success_rate,test/episode,stats_g/std,stats_g/mean,stats_o/mean,train/episode,epoch
-3.9924445,0.06453133,0.0,0.0,10.0,0.13438451,0.8637033,0.20187292,20.0,0
-6.8573294,0.059943296,0.0,0.0,20.0,0.12798822,0.85839653,0.20214435,40.0,1
-10.234888,0.05790132,0.0,0.0,30.0,0.124964684,0.86112124,0.20304346,60.0,2
-12.553218,0.054986868,0.0,0.0,40.0,0.1227743,0.8632357,0.20396805,80.0,3
-14.88992,0.0683672,0.0,0.0,50.0,0.12308723,0.8618037,0.20288771,100.0,4
-15.9815645,0.073737174,0.0,0.0,60.0,0.124688305,0.8624914,0.20433305,120.0,5
-18.402447,0.074511364,0.0,0.0,70.0,0.123500556,0.8597103,0.2043833,140.0,6
-18.86283,0.075690284,0.0,0.0,80.0,0.12259681,0.8589527,0.20411207,160.0,7
-20.000338,0.084959656,0.0,0.0,90.0,0.12316364,0.85791916,0.20544393,180.0,8
-20.733704,0.08754931,0.0,0.0,100.0,0.12595847,0.8590166,0.20562896,200.0,9
-23.837948,0.090848476,0.0,0.0,110.0,0.125938,0.85888535,0.20500012,220.0,10
-24.988834,0.09143918,0.0,0.0,120.0,0.12534143,0.85933995,0.20504063,240.0,11
-26.449574,0.09806599,0.0,0.1,130.0,0.12704621,0.8577102,0.20469378,260.0,12
-28.16145,0.097781055,0.0,0.0,140.0,0.1273164,0.8581198,0.2046836,280.0,13
-28.697834,0.09640983,0.0,0.1,150.0,0.12638368,0.85855883,0.20471238,300.0,14
-30.983215,0.097442605,0.0,0.1,160.0,0.1261713,0.85795385,0.20486091,320.0,15
-29.649918,0.09752699,0.0,0.0,170.0,0.12608151,0.8575161,0.2047312,340.0,16
-29.473902,0.09743344,0.0,0.0,180.0,0.12515731,0.85730404,0.20444398,360.0,17
-32.0623,0.0972691,0.0,0.0,190.0,0.12463131,0.857167,0.20423551,380.0,18
-31.855017,0.09680029,0.0,0.0,200.0,0.124128975,0.8564458,0.20435832,400.0,19
-27.773432,0.09780434,0.0,0.0,210.0,0.12366923,0.8564105,0.20459752,420.0,20
