test/mean_Q,train/episode,stats_o/std,test/episode,epoch,test/success_rate,stats_g/std,stats_g/mean,stats_o/mean,train/success_rate
-3.8176708,20.0,0.06379525,10.0,0,0.0,0.122895755,0.88464737,0.20802853,0.0
-6.663207,40.0,0.06104122,20.0,1,0.0,0.121902205,0.87589765,0.20693423,0.0
-10.617312,60.0,0.058550972,30.0,2,0.0,0.120969236,0.8743162,0.20667377,0.0
-11.048856,80.0,0.060006227,40.0,3,0.1,0.120236255,0.8738486,0.20711912,0.0
-14.022603,100.0,0.058603153,50.0,4,0.0,0.12005159,0.8704319,0.20667695,0.0
-15.275961,120.0,0.066405736,60.0,5,0.0,0.12188809,0.87000483,0.20669337,0.0
-16.304636,140.0,0.0675819,70.0,6,0.1,0.121290475,0.86666435,0.20516877,0.0
-18.243118,160.0,0.072261006,80.0,7,0.0,0.12171071,0.86476403,0.2050375,0.0
-19.202961,180.0,0.0739597,90.0,8,0.0,0.12164105,0.86415356,0.20413624,0.0
-20.386917,200.0,0.075856216,100.0,9,0.0,0.121573,0.8642325,0.2043327,0.0
-23.185493,220.0,0.07997958,110.0,10,0.0,0.123795964,0.86370707,0.204829,0.0
-23.491407,240.0,0.08431354,120.0,11,0.1,0.12403244,0.8633876,0.2051556,0.0
-25.785395,260.0,0.08658307,130.0,12,0.0,0.12442879,0.8628543,0.20487821,0.0
-24.43565,280.0,0.08652152,140.0,13,0.0,0.12313897,0.8628263,0.20496225,0.0
-27.918936,300.0,0.08712199,150.0,14,0.0,0.122328155,0.86267,0.20480564,0.0
-30.02026,320.0,0.08665977,160.0,15,0.0,0.12178784,0.8618744,0.2046554,0.0
-28.079998,340.0,0.08796506,170.0,16,0.0,0.12112954,0.8615404,0.20449184,0.0
-29.085209,360.0,0.08796512,180.0,17,0.0,0.120731115,0.8609149,0.20457491,0.0
-30.03869,380.0,0.08846405,190.0,18,0.0,0.12113333,0.86029214,0.2043532,0.0
-29.369043,400.0,0.08869242,200.0,19,0.0,0.12095785,0.859313,0.20422333,0.0
-26.111073,420.0,0.08937499,210.0,20,0.0,0.12070119,0.8587503,0.20421089,0.0
-26.965113,440.0,0.09203745,220.0,21,0.0,0.12285721,0.8580653,0.20428284,0.0
-28.482456,460.0,0.092781894,230.0,22,0.0,0.122382365,0.85797113,0.20435277,0.0
-29.52544,480.0,0.095135145,240.0,23,0.0,0.12358143,0.85712624,0.20418976,0.0
-25.62211,500.0,0.095470525,250.0,24,0.1,0.123317145,0.8572232,0.20437029,0.0
-23.342274,520.0,0.09765309,260.0,25,0.1,0.12379787,0.85695505,0.2047323,0.0
-31.252377,540.0,0.09830166,270.0,26,0.0,0.12461456,0.8576114,0.20506622,0.0
-31.654873,560.0,0.09986969,280.0,27,0.0,0.12573732,0.85749334,0.20512854,0.0
-30.462484,580.0,0.1004236,290.0,28,0.0,0.12601611,0.85767984,0.20523173,0.0
-23.797535,600.0,0.10150983,300.0,29,0.5,0.12656261,0.8577493,0.20471184,0.0
-28.547405,620.0,0.10431364,310.0,30,0.1,0.12745094,0.8582168,0.20490348,0.0
-26.300304,640.0,0.10470962,320.0,31,0.0,0.12747745,0.8583746,0.20521414,0.0
-20.074314,660.0,0.107241355,330.0,32,0.0,0.13064405,0.8581801,0.20532362,0.0
-25.4072,680.0,0.10816696,340.0,33,0.1,0.13118504,0.8571783,0.20489694,0.0
-24.42857,700.0,0.111373045,350.0,34,0.0,0.13286223,0.8564501,0.20435032,0.0
-30.80575,720.0,0.11311504,360.0,35,0.0,0.13395233,0.8562407,0.20423292,0.0
-21.789478,740.0,0.11362373,370.0,36,0.2,0.13418405,0.8558936,0.2043311,0.0
-28.261295,760.0,0.113613434,380.0,37,0.2,0.13403352,0.8559806,0.20420866,0.0
-24.55136,780.0,0.1147805,390.0,38,0.0,0.13409583,0.85575867,0.20411901,0.0
-27.089428,800.0,0.11530106,400.0,39,0.0,0.13441242,0.855449,0.20399044,0.0
-29.086407,820.0,0.116698876,410.0,40,0.0,0.13436788,0.855166,0.20373169,0.0
-21.110334,840.0,0.11657424,420.0,41,0.2,0.13426751,0.85504895,0.2036886,0.0
-22.624805,860.0,0.11746093,430.0,42,0.0,0.13410142,0.8548967,0.20360304,0.0
-23.128796,880.0,0.11792275,440.0,43,0.1,0.13500297,0.8549145,0.20333254,0.0
-22.090948,900.0,0.11799529,450.0,44,0.4,0.13509499,0.8542807,0.20335492,0.0
-20.485767,920.0,0.11845867,460.0,45,0.2,0.13466258,0.8542204,0.20374657,0.0
-21.166918,940.0,0.11855235,470.0,46,0.1,0.13523014,0.8538137,0.20373829,0.0
-25.8437,960.0,0.11890514,480.0,47,0.0,0.135195,0.85374445,0.20391847,0.0
-22.342037,980.0,0.11869496,490.0,48,0.0,0.13490881,0.8534228,0.20399038,0.0
-24.638458,1000.0,0.118894026,500.0,49,0.0,0.13463618,0.8530822,0.20379917,0.0
-26.73142,1020.0,0.11899578,510.0,50,0.1,0.13434738,0.8530383,0.20417733,0.0
-19.996912,1040.0,0.11928239,520.0,51,0.1,0.13477784,0.8530669,0.20442641,0.05
-21.994152,1060.0,0.118978985,530.0,52,0.1,0.13427554,0.8529846,0.20440039,0.05
-20.428808,1080.0,0.11974952,540.0,53,0.5,0.13425134,0.8529875,0.20470805,0.0
-20.011229,1100.0,0.11977231,550.0,54,0.1,0.1340027,0.85295993,0.20484678,0.0
-24.181664,1120.0,0.11982276,560.0,55,0.0,0.13430823,0.85276335,0.20511171,0.0
-22.768776,1140.0,0.12009519,570.0,56,0.1,0.13430567,0.85274124,0.20541479,0.0
-21.56987,1160.0,0.12005982,580.0,57,0.0,0.13408066,0.8528934,0.2055416,0.0
-23.673569,1180.0,0.11988516,590.0,58,0.1,0.13398625,0.8530764,0.2057833,0.0
-22.407078,1200.0,0.119921505,600.0,59,0.0,0.1338198,0.8529909,0.20601843,0.0
-20.517704,1220.0,0.12029806,610.0,60,0.1,0.13358012,0.8530026,0.20603992,0.0
-18.160387,1240.0,0.12039708,620.0,61,0.1,0.13391344,0.85311794,0.20620754,0.0
-22.086802,1260.0,0.120327614,630.0,62,0.1,0.13395603,0.8529028,0.20618124,0.0
-15.459196,1280.0,0.12053049,640.0,63,0.0,0.13364567,0.8531084,0.20628999,0.0
-19.556005,1300.0,0.12079669,650.0,64,0.1,0.1334251,0.85317904,0.20649643,0.0
-16.632862,1320.0,0.120992005,660.0,65,0.3,0.1332006,0.85344744,0.20663899,0.0
-18.325542,1340.0,0.121456355,670.0,66,0.2,0.13405555,0.85344964,0.20683172,0.0
-15.990984,1360.0,0.121447146,680.0,67,0.1,0.13382234,0.853694,0.20725834,0.0
-18.87915,1380.0,0.12130828,690.0,68,0.3,0.13341928,0.8539515,0.20742425,0.0
-17.186106,1400.0,0.121333875,700.0,69,0.4,0.1330986,0.85400003,0.2076662,0.0
-15.990873,1420.0,0.121405266,710.0,70,0.0,0.1332023,0.8542745,0.20788133,0.0
-19.629957,1440.0,0.12124875,720.0,71,0.0,0.1330175,0.85431284,0.2079225,0.0
-14.094389,1460.0,0.12114461,730.0,72,0.2,0.13273232,0.8543462,0.2080521,0.0
-13.597219,1480.0,0.12136511,740.0,73,0.1,0.13252507,0.85427016,0.20837443,0.05
-14.817235,1500.0,0.121339895,750.0,74,0.1,0.13231549,0.85425997,0.20868474,0.0
-16.360996,1520.0,0.12151088,760.0,75,0.1,0.13216756,0.85402346,0.20894158,0.0
-15.222204,1540.0,0.12178311,770.0,76,0.2,0.13241304,0.8538725,0.20911698,0.0
-17.282251,1560.0,0.12157327,780.0,77,0.1,0.13227426,0.8538165,0.20931399,0.0
-14.335152,1580.0,0.12177498,790.0,78,0.2,0.13247627,0.85374457,0.20958006,0.0
-14.251775,1600.0,0.1218779,800.0,79,0.2,0.13271873,0.85364604,0.20972802,0.0
-14.35188,1620.0,0.1221949,810.0,80,0.2,0.13318585,0.8537071,0.20988491,0.0
-16.1884,1640.0,0.12222747,820.0,81,0.2,0.13368264,0.85368365,0.20999098,0.0
-15.474256,1660.0,0.12232349,830.0,82,0.2,0.13373055,0.8538893,0.21016529,0.0
-18.304535,1680.0,0.12223766,840.0,83,0.0,0.13346572,0.85389084,0.21031673,0.05
-17.315777,1700.0,0.12198516,850.0,84,0.2,0.13329689,0.85416025,0.21040052,0.0
-8.241998,1720.0,0.12233304,860.0,85,0.7,0.133649,0.85419303,0.21042833,0.15
-14.613607,1740.0,0.122445814,870.0,86,0.3,0.13358246,0.8543202,0.2106432,0.1
-13.40923,1760.0,0.12244011,880.0,87,0.2,0.13351922,0.85441417,0.21075226,0.05
-11.030252,1780.0,0.12250723,890.0,88,0.2,0.13351846,0.85440683,0.21074513,0.05
-15.277817,1800.0,0.12297284,900.0,89,0.3,0.1341386,0.85443646,0.21079512,0.0
-14.550189,1820.0,0.123039134,910.0,90,0.1,0.13424446,0.85461575,0.21087496,0.0
-7.9057894,1840.0,0.123178765,920.0,91,0.2,0.13419597,0.854595,0.21112584,0.05
-10.145845,1860.0,0.12334456,930.0,92,0.4,0.13428046,0.85462713,0.21121806,0.15
