train/episode,stats_g/std,test/episode,test/success_rate,stats_o/std,stats_o/mean,train/success_rate,test/mean_Q,epoch,stats_g/mean
20.0,0.09209015,10.0,0.0,0.055272505,0.21028605,0.0,-3.6922574,0,0.9016927
40.0,0.09599014,20.0,0.0,0.06577728,0.21008329,0.0,-7.4025106,1,0.8961217
60.0,0.097865246,30.0,0.1,0.069743425,0.21071401,0.0,-8.942268,2,0.89229316
80.0,0.09867103,40.0,0.6,0.07299597,0.20900026,0.0,-7.9534125,3,0.8876994
100.0,0.098632194,50.0,0.6,0.07147283,0.20872957,0.0,-8.473544,4,0.884865
120.0,0.09876432,60.0,0.6,0.07173577,0.20868671,0.0,-10.34122,5,0.8834882
140.0,0.09885975,70.0,0.1,0.072735,0.2092666,0.0,-10.780701,6,0.88286257
160.0,0.0987583,80.0,0.2,0.074202135,0.20868167,0.0,-15.499944,7,0.88097495
180.0,0.09848732,90.0,0.2,0.07550341,0.2085568,0.0,-16.772856,8,0.8794076
200.0,0.098693766,100.0,0.3,0.07811256,0.2077359,0.0,-15.812613,9,0.87784725
220.0,0.09876746,110.0,0.2,0.07706284,0.20787647,0.0,-16.603306,10,0.8774843
240.0,0.09835857,120.0,0.4,0.0763405,0.20741776,0.0,-16.813148,11,0.8761417
260.0,0.09797052,130.0,0.3,0.07597211,0.20734817,0.0,-17.68284,12,0.87517864
280.0,0.09773905,140.0,0.1,0.0753912,0.20730892,0.0,-18.88425,13,0.87430924
300.0,0.09753588,150.0,0.3,0.07453361,0.207159,0.0,-18.091898,14,0.87321585
320.0,0.09746244,160.0,0.2,0.07431068,0.20710176,0.0,-19.149408,15,0.8728898
340.0,0.09755274,170.0,0.1,0.07528212,0.20698218,0.0,-23.419605,16,0.8728442
360.0,0.09780693,180.0,0.6,0.07752232,0.20634767,0.0,-17.249016,17,0.8723879
380.0,0.09775248,190.0,0.1,0.078421004,0.20600271,0.0,-18.453487,18,0.8719704
400.0,0.09788839,200.0,0.4,0.07941813,0.20550846,0.0,-20.10625,19,0.87097913
420.0,0.097950675,210.0,0.3,0.07998798,0.20511791,0.0,-28.033579,20,0.8709057
440.0,0.09783093,220.0,0.2,0.08130124,0.20509468,0.0,-23.336355,21,0.87029415
460.0,0.0980258,230.0,0.5,0.08231279,0.20510353,0.0,-18.776333,22,0.86955833
480.0,0.09798788,240.0,0.8,0.08329457,0.20461418,0.0,-16.493664,23,0.8688288
500.0,0.09772473,250.0,0.2,0.08357384,0.2044823,0.0,-25.695642,24,0.8682205
520.0,0.097802244,260.0,0.4,0.08439749,0.20459218,0.0,-20.526676,25,0.8679151
540.0,0.097767375,270.0,0.6,0.08527893,0.20436381,0.0,-22.550564,26,0.8674658
560.0,0.09771732,280.0,0.6,0.08530754,0.20439538,0.0,-20.511711,27,0.86703306
580.0,0.09760318,290.0,0.1,0.08576525,0.20457774,0.0,-24.036198,28,0.8671529
600.0,0.09735828,300.0,0.1,0.08542374,0.20440795,0.0,-23.274254,29,0.866724
620.0,0.09731112,310.0,0.1,0.085216105,0.20419092,0.0,-26.533686,30,0.8662217
640.0,0.09709718,320.0,0.3,0.08563241,0.20425838,0.0,-21.249146,31,0.8653762
660.0,0.09713859,330.0,0.4,0.085567705,0.20420094,0.0,-24.582344,32,0.8653154
680.0,0.09706066,340.0,0.5,0.085504815,0.20408317,0.0,-20.343948,33,0.8650989
700.0,0.09706443,350.0,0.2,0.08558116,0.20428261,0.0,-24.876343,34,0.8652864
720.0,0.097082235,360.0,0.6,0.08624403,0.20424229,0.0,-23.64801,35,0.865071
