train/episode,test/mean_Q,stats_g/std,epoch,stats_g/mean,stats_o/std,test/episode,stats_o/mean,test/success_rate,train/success_rate
20.0,-3.4888377,0.17510964,0,0.9009684,0.16774055,10.0,0.21879849,0.0,0.0
40.0,-7.181506,0.20781893,1,0.89634734,0.18817323,20.0,0.21611314,0.0,0.0
60.0,-9.446021,0.5770033,2,0.89719135,0.2582791,30.0,0.2171599,0.0,0.0
80.0,-12.406253,0.56370586,3,0.88721234,0.2575511,40.0,0.21529873,0.0,0.0
100.0,-12.257236,0.5644874,4,0.8902424,0.2635131,50.0,0.21611628,0.0,0.0
120.0,-14.914256,0.57832676,5,0.8844754,0.26997396,60.0,0.21577121,0.0,0.0
140.0,-16.549707,0.62335473,6,0.8820271,0.279556,70.0,0.21379526,0.0,0.0
160.0,-14.211771,0.6189105,7,0.8773344,0.2806762,80.0,0.21314964,0.0,0.0
180.0,-15.317822,0.59972566,8,0.87583846,0.2772437,90.0,0.2126444,0.0,0.0
200.0,-15.532831,0.60960066,9,0.87901336,0.2822659,100.0,0.21225518,0.0,0.0
220.0,-18.017958,0.6062086,10,0.877059,0.2841263,110.0,0.21181439,0.0,0.0
240.0,-21.312975,0.598306,11,0.86952275,0.2829197,120.0,0.20931011,0.0,0.0
260.0,-18.481028,0.67109996,12,0.85720134,0.30002704,130.0,0.20628819,0.0,0.0
280.0,-19.978542,0.6740742,13,0.865143,0.30059022,140.0,0.20747085,0.0,0.0
300.0,-20.721022,0.6610758,14,0.864219,0.29709163,150.0,0.20849977,0.0,0.0
320.0,-21.092632,0.65440583,15,0.8674267,0.29770574,160.0,0.2099482,0.0,0.0
340.0,-18.959652,0.64628863,16,0.8680947,0.2971501,170.0,0.2107225,0.0,0.0
360.0,-10.444345,0.63378865,17,0.86817604,0.29602128,180.0,0.209858,0.0,0.0
380.0,-8.005625,0.6514854,18,0.86520404,0.30287802,190.0,0.20837812,0.0,0.0
400.0,-11.723386,0.6409432,19,0.8659284,0.3015868,200.0,0.20787244,0.0,0.0
420.0,-16.348549,0.6332747,20,0.86677986,0.29972732,210.0,0.20910595,0.0,0.0
440.0,-15.037735,0.65838414,21,0.8703638,0.30551636,220.0,0.20909853,0.0,0.0
460.0,-14.644389,0.64761525,22,0.8700947,0.30253556,230.0,0.20960057,0.0,0.0
480.0,-16.45596,0.63745004,23,0.8695871,0.3004693,240.0,0.20876317,0.1,0.0
500.0,-20.132235,0.6315337,24,0.86762476,0.29837817,250.0,0.20899925,0.0,0.0
520.0,-20.755934,0.66518396,25,0.8759439,0.3063892,260.0,0.20979947,0.0,0.0
540.0,-20.157864,0.66095763,26,0.87635785,0.30605805,270.0,0.20972738,0.0,0.0
560.0,-19.646671,0.6656358,27,0.8744361,0.30832112,280.0,0.20980531,0.1,0.0
580.0,-21.395634,0.6585216,28,0.87595606,0.30719587,290.0,0.2100417,0.1,0.0
600.0,-21.735844,0.65473104,29,0.8729752,0.30637693,300.0,0.21081942,0.0,0.0
